"level_1#","level_1_F","level_1_H","level_1_G","level_1_BF","level_2#","level_2_F","level_2_H","level_2_G","level_2_BF","level_3#","level_3_F","level_3_H","level_3_G","level_3_BF","level_4#","level_4_F","level_4_H","level_4_G","level_4_BF","level_5#","level_5_F","level_5_H","level_5_G","level_5_BF","level_6#","level_6_F","level_6_H","level_6_G","level_6_BF","level_7#","level_7_F","level_7_H","level_7_G","level_7_BF","level_8#","level_8_F","level_8_H","level_8_G","level_8_BF","level_9#","level_9_F","level_9_H","level_9_G","level_9_BF","level_10#","level_10_F","level_10_H","level_10_G","level_10_BF","H0","H_min","last_H_min_update","f_max","node_max"
"69","61.0","6.0","31","4","68","65.0","7.0","30","4","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","17.0","5.0","10","88.0","135"
"70","62.0","6.0","32","3","69","61.0","6.0","31","4","68","65.0","7.0","30","4","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","17.0","5.0","11","88.0","135"
"71","63.0","6.0","33","4","70","62.0","6.0","32","3","69","61.0","6.0","31","4","68","65.0","7.0","30","4","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","17.0","5.0","12","88.0","135"
"72","65.0","7.0","30","3","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","17.0","5.0","13","88.0","135"
"73","61.0","6.0","31","3","72","65.0","7.0","30","3","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","17.0","5.0","14","88.0","135"
"74","62.0","6.0","32","2","73","61.0","6.0","31","3","72","65.0","7.0","30","3","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","17.0","5.0","15","88.0","135"
"75","63.0","6.0","33","3","74","62.0","6.0","32","2","73","61.0","6.0","31","3","72","65.0","7.0","30","3","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","17.0","5.0","16","88.0","135"
"76","65.0","7.0","30","3","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","17.0","5.0","17","88.0","135"
"77","65.0","7.0","30","3","64","59.0","6.0","29","3","62","58.0","6.0","28","2","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","17.0","5.0","18","88.0","135"
"78","65.0","7.0","30","2","64","59.0","6.0","29","3","62","58.0","6.0","28","2","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","17.0","5.0","19","88.0","135"
"79","66.0","7.0","31","5","68","65.0","7.0","30","4","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","17.0","5.0","20","88.0","135"
"80","66.0","7.0","31","4","72","65.0","7.0","30","3","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","17.0","5.0","21","88.0","135"
"81","66.0","7.0","31","4","76","65.0","7.0","30","3","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","17.0","5.0","22","88.0","135"
"82","66.0","7.0","31","4","77","65.0","7.0","30","3","64","59.0","6.0","29","3","62","58.0","6.0","28","2","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","17.0","5.0","23","88.0","135"
"83","66.0","7.0","31","3","78","65.0","7.0","30","2","64","59.0","6.0","29","3","62","58.0","6.0","28","2","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","17.0","5.0","24","88.0","135"
"84","66.0","8.0","26","4","65","60.0","7.0","25","4","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","41","63.0","9.0","18","4","39","62.0","9.0","17","5","17.0","5.0","25","88.0","135"
"85","62.0","7.0","27","4","84","66.0","8.0","26","4","65","60.0","7.0","25","4","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","41","63.0","9.0","18","4","17.0","5.0","26","88.0","135"
"86","66.0","8.0","26","3","65","60.0","7.0","25","4","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","41","63.0","9.0","18","4","39","62.0","9.0","17","5","17.0","5.0","27","88.0","135"
"87","66.0","8.0","26","3","65","60.0","7.0","25","4","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","41","63.0","9.0","18","4","39","62.0","9.0","17","5","17.0","5.0","28","88.0","135"
"88","67.0","7.0","32","3","69","61.0","6.0","31","4","68","65.0","7.0","30","4","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","17.0","5.0","29","88.0","135"
"89","67.0","7.0","32","2","73","61.0","6.0","31","3","72","65.0","7.0","30","3","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","17.0","5.0","30","88.0","135"
"90","67.0","8.0","27","3","66","61.0","7.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","41","63.0","9.0","18","4","17.0","5.0","31","88.0","135"
"91","67.0","8.0","27","5","84","66.0","8.0","26","4","65","60.0","7.0","25","4","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","41","63.0","9.0","18","4","17.0","5.0","32","88.0","135"
"92","67.0","8.0","27","4","86","66.0","8.0","26","3","65","60.0","7.0","25","4","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","41","63.0","9.0","18","4","17.0","5.0","33","88.0","135"
"93","67.0","8.0","27","3","87","66.0","8.0","26","3","65","60.0","7.0","25","4","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","41","63.0","9.0","18","4","17.0","5.0","34","88.0","135"
"94","67.0","8.0","27","4","87","66.0","8.0","26","3","65","60.0","7.0","25","4","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","41","63.0","9.0","18","4","17.0","5.0","35","88.0","135"
"95","67.0","9.0","22","3","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","41","63.0","9.0","18","4","39","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","17.0","5.0","36","88.0","135"
"96","67.0","9.0","22","3","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","41","63.0","9.0","18","4","39","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","17.0","5.0","37","88.0","135"
"97","63.0","8.0","23","3","96","67.0","9.0","22","3","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","41","63.0","9.0","18","4","39","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","17.0","5.0","38","88.0","135"
"98","59.0","7.0","24","2","97","63.0","8.0","23","3","96","67.0","9.0","22","3","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","41","63.0","9.0","18","4","39","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","17.0","5.0","39","88.0","135"
"99","67.0","10.0","17","6","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","32","85.0","15.0","10","5","28","84.0","15.0","9","5","26","83.0","15.0","8","4","17.0","5.0","40","88.0","135"
"100","67.0","10.0","17","6","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","32","85.0","15.0","10","5","28","84.0","15.0","9","5","26","83.0","15.0","8","4","17.0","5.0","41","88.0","135"
"101","68.0","7.0","33","4","70","62.0","6.0","32","3","69","61.0","6.0","31","4","68","65.0","7.0","30","4","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","17.0","5.0","42","88.0","135"
"102","68.0","7.0","33","3","88","67.0","7.0","32","3","69","61.0","6.0","31","4","68","65.0","7.0","30","4","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","57","59.0","7.0","24","3","17.0","5.0","43","88.0","135"
"103","68.0","8.0","28","3","85","62.0","7.0","27","4","84","66.0","8.0","26","4","65","60.0","7.0","25","4","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","17.0","5.0","44","88.0","135"
"104","68.0","8.0","28","3","85","62.0","7.0","27","4","84","66.0","8.0","26","4","65","60.0","7.0","25","4","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","17.0","5.0","45","88.0","135"
"105","68.0","8.0","28","2","93","67.0","8.0","27","3","87","66.0","8.0","26","3","65","60.0","7.0","25","4","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","17.0","5.0","46","88.0","135"
"106","68.0","8.0","28","2","93","67.0","8.0","27","3","87","66.0","8.0","26","3","65","60.0","7.0","25","4","57","59.0","7.0","24","3","56","63.0","8.0","23","4","55","67.0","9.0","22","4","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","17.0","5.0","47","88.0","135"
"107","68.0","9.0","23","5","55","67.0","9.0","22","4","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","41","63.0","9.0","18","4","39","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","17.0","5.0","48","88.0","135"
"108","68.0","9.0","23","3","95","67.0","9.0","22","3","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","41","63.0","9.0","18","4","39","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","17.0","5.0","49","88.0","135"
"109","68.0","9.0","23","4","95","67.0","9.0","22","3","44","61.0","8.0","21","4","43","60.0","8.0","20","3","42","59.0","8.0","19","4","41","63.0","9.0","18","4","39","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","17.0","5.0","50","88.0","135"
"110","68.0","10.0","18","4","39","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","32","85.0","15.0","10","5","28","84.0","15.0","9","5","17.0","5.0","51","88.0","135"
"111","64.0","9.0","19","4","110","68.0","10.0","18","4","39","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","32","85.0","15.0","10","5","17.0","5.0","52","88.0","135"
"112","65.0","9.0","20","3","111","64.0","9.0","19","4","110","68.0","10.0","18","4","39","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","17.0","5.0","53","88.0","135"
"113","66.0","9.0","21","4","112","65.0","9.0","20","3","111","64.0","9.0","19","4","110","68.0","10.0","18","4","39","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","17.0","5.0","54","88.0","135"
"114","66.0","9.0","21","4","112","65.0","9.0","20","3","111","64.0","9.0","19","4","110","68.0","10.0","18","4","39","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","17.0","5.0","55","88.0","135"
"115","68.0","10.0","18","4","39","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","32","85.0","15.0","10","5","28","84.0","15.0","9","5","17.0","5.0","56","88.0","135"
"116","64.0","9.0","19","4","115","68.0","10.0","18","4","39","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","32","85.0","15.0","10","5","17.0","5.0","57","88.0","135"
"117","65.0","9.0","20","3","116","64.0","9.0","19","4","115","68.0","10.0","18","4","39","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","17.0","5.0","58","88.0","135"
"118","66.0","9.0","21","4","117","65.0","9.0","20","3","116","64.0","9.0","19","4","115","68.0","10.0","18","4","39","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","17.0","5.0","59","88.0","135"
"119","68.0","10.0","18","4","39","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","32","85.0","15.0","10","5","28","84.0","15.0","9","5","17.0","5.0","60","88.0","135"
"120","68.0","10.0","18","4","40","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","32","85.0","15.0","10","5","28","84.0","15.0","9","5","17.0","5.0","61","88.0","135"
"121","64.0","9.0","19","4","120","68.0","10.0","18","4","40","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","32","85.0","15.0","10","5","17.0","5.0","62","88.0","135"
"122","68.0","10.0","18","4","40","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","32","85.0","15.0","10","5","28","84.0","15.0","9","5","17.0","5.0","63","88.0","135"
"123","64.0","9.0","19","4","122","68.0","10.0","18","4","40","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","32","85.0","15.0","10","5","17.0","5.0","64","88.0","135"
"124","68.0","10.0","18","4","40","62.0","9.0","17","5","38","66.0","10.0","16","5","37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","32","85.0","15.0","10","5","28","84.0","15.0","9","5","17.0","5.0","65","88.0","135"
"125","69.0","7.0","34","4","71","63.0","6.0","33","4","70","62.0","6.0","32","3","69","61.0","6.0","31","4","68","65.0","7.0","30","4","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","58","55.0","6.0","25","3","17.0","5.0","66","88.0","135"
"126","65.0","6.0","35","4","125","69.0","7.0","34","4","71","63.0","6.0","33","4","70","62.0","6.0","32","3","69","61.0","6.0","31","4","68","65.0","7.0","30","4","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","59","51.0","5.0","26","2","17.0","5.0","67","88.0","135"
"127","61.0","5.0","36","3","126","65.0","6.0","35","4","125","69.0","7.0","34","4","71","63.0","6.0","33","4","70","62.0","6.0","32","3","69","61.0","6.0","31","4","68","65.0","7.0","30","4","63","59.0","6.0","29","4","61","58.0","6.0","28","3","60","52.0","5.0","27","3","17.0","5.0","68","88.0","135"
"128","57.0","4.0","37","3","127","61.0","5.0","36","3","126","65.0","6.0","35","4","125","69.0","7.0","34","4","71","63.0","6.0","33","4","70","62.0","6.0","32","3","69","61.0","6.0","31","4","68","65.0","7.0","30","4","63","59.0","6.0","29","4","61","58.0","6.0","28","3","17.0","4.0","0","88.0","135"
"129","53.0","3.0","38","2","128","57.0","4.0","37","3","127","61.0","5.0","36","3","126","65.0","6.0","35","4","125","69.0","7.0","34","4","71","63.0","6.0","33","4","70","62.0","6.0","32","3","69","61.0","6.0","31","4","68","65.0","7.0","30","4","63","59.0","6.0","29","4","17.0","3.0","0","88.0","135"
"130","54.0","3.0","39","3","129","53.0","3.0","38","2","128","57.0","4.0","37","3","127","61.0","5.0","36","3","126","65.0","6.0","35","4","125","69.0","7.0","34","4","71","63.0","6.0","33","4","70","62.0","6.0","32","3","69","61.0","6.0","31","4","68","65.0","7.0","30","4","17.0","3.0","1","88.0","135"
"131","60.0","4.0","40","3","130","54.0","3.0","39","3","129","53.0","3.0","38","2","128","57.0","4.0","37","3","127","61.0","5.0","36","3","126","65.0","6.0","35","4","125","69.0","7.0","34","4","71","63.0","6.0","33","4","70","62.0","6.0","32","3","69","61.0","6.0","31","4","17.0","3.0","2","88.0","135"
"132","56.0","3.0","41","3","131","60.0","4.0","40","3","130","54.0","3.0","39","3","129","53.0","3.0","38","2","128","57.0","4.0","37","3","127","61.0","5.0","36","3","126","65.0","6.0","35","4","125","69.0","7.0","34","4","71","63.0","6.0","33","4","70","62.0","6.0","32","3","17.0","3.0","3","88.0","135"
"133","52.0","2.0","42","2","132","56.0","3.0","41","3","131","60.0","4.0","40","3","130","54.0","3.0","39","3","129","53.0","3.0","38","2","128","57.0","4.0","37","3","127","61.0","5.0","36","3","126","65.0","6.0","35","4","125","69.0","7.0","34","4","71","63.0","6.0","33","4","17.0","2.0","0","88.0","135"
"134","48.0","1.0","43","2","133","52.0","2.0","42","2","132","56.0","3.0","41","3","131","60.0","4.0","40","3","130","54.0","3.0","39","3","129","53.0","3.0","38","2","128","57.0","4.0","37","3","127","61.0","5.0","36","3","126","65.0","6.0","35","4","125","69.0","7.0","34","4","17.0","1.0","0","88.0","135"
"135","44.0","0.0","44","1","134","48.0","1.0","43","2","133","52.0","2.0","42","2","132","56.0","3.0","41","3","131","60.0","4.0","40","3","130","54.0","3.0","39","3","129","53.0","3.0","38","2","128","57.0","4.0","37","3","127","61.0","5.0","36","3","126","65.0","6.0","35","4","17.0","0.0","0","88.0","135"
